Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
1A;NA;FR2;Strawberry;G7;22/8/2017;5/9/2017;L1;C9;Strawberry;168;AA;13;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L1;C10;Cherry;171;AA;33;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L2;C1;Strawberry;200;AA;42;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L2;C2;Cranberry;144;AA;25;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L2;C3;Strawberry;247;AA;29;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L2;C4;Cherry;120;AA;42;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L2;C7;Cranberry;240;AA;10;LO,
1A;NA;CR2;Cranberry;G7;22/8/2017;5/9/2017;L2;C8;Strawberry;88;AA;39;LO,
1A;NA;FR2;Strawberry;G7;22/8/2017;5/9/2017;L2;C9;Cherry;180;AA;26;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L2;C10;Cranberry;160;AA;17;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L3;C1;Cherry;209;AA;23;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L3;C2;Cherry;251;AA;10;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L3;C3;Cranberry;170;AA;31;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L3;C4;Strawberry;65;AA;18;LO,
1A;NA;CE3;Cherry;G7;22/8/2017;5/9/2017;L3;C7;Cherry;152;AA;10;LO,
1A;NA;CR2;Cranberry;G7;22/8/2017;5/9/2017;L3;C8;Cherry;203;AA;43;LO,
1A;NA;FR2;Strawberry;G7;22/8/2017;5/9/2017;L3;C9;Cranberry;196;AA;23;LO,
1A;NA;CR3;Cranberry;G7;22/8/2017;5/9/2017;L3;C10;Strawberry;268;AA;53;LO,
1A;NA;CE1;Cherry;G7;22/8/2017;5/9/2017;L4;C1;Cranberry;365;AA;0;LO,
1A;NA;FR1;Strawberry;G7;22/8/2017;5/9/2017;L4;C2;Cherry;284;AA;0;LO,
